일시,가격
2011-06-22,2350
2011-06-23,2355
2011-06-24,2355
2011-06-25,2355
2011-06-26,2355
2011-06-27,2388
2011-06-28,2388
2011-06-29,2388
2011-06-30,2235
2011-07-01,2167
2011-07-02,2167
2011-07-03,2167
2011-07-04,2167
2011-07-05,2167
2011-07-06,2167
2011-07-07,2217
2011-07-08,2217
2011-07-09,2217
2011-07-10,2217
2011-07-11,2217
2011-07-12,2217
2011-07-13,2320
2011-07-14,2320
2011-07-15,2233
2011-07-16,2233
2011-07-17,2233
2011-07-18,2320
2011-07-19,2320
2011-07-20,2320
2011-07-21,2320
2011-07-22,2285
2011-07-23,2285
2011-07-24,2285
2011-07-25,2285
2011-07-26,2252
2011-07-27,2252
2011-07-28,2047
2011-07-29,2047
2011-07-30,2047
2011-07-31,2047
2011-08-01,2115
2011-08-02,2095
2011-08-03,2095
2011-08-04,2095
2011-08-05,2095
2011-08-06,2095
2011-08-07,2095
2011-08-08,2118
2011-08-09,2118
2011-08-10,2118
2011-08-11,2068
2011-08-12,2068
2011-08-13,2068
2011-08-14,2068
2011-08-15,2068
2011-08-16,2057
2011-08-17,2057
2011-08-18,2157
2011-08-19,2112
2011-08-20,2112
2011-08-21,2112
2011-08-22,2107
2011-08-23,2023
2011-08-24,2045
2011-08-25,2167
2011-08-26,2167
2011-08-27,2167
2011-08-28,2167
2011-08-29,2077
2011-08-30,2093
2011-08-31,1970
2011-09-01,1987
2011-09-02,1910
2011-09-03,1910
2011-09-04,1910
2011-09-05,1860
2011-09-06,1860
2011-09-07,1915
2011-09-08,1915
2011-09-09,1937
2011-09-10,1937
2011-09-11,1937
2011-09-12,1937
2011-09-13,1937
2011-09-14,1953
2011-09-15,1915
2011-09-16,1915
2011-09-17,1915
2011-09-18,1915
2011-09-19,1915
2011-09-20,1930
2011-09-21,1930
2011-09-22,1830
2011-09-23,1830
2011-09-24,1830
2011-09-25,1830
2011-09-26,1813
2011-09-27,1808
2011-09-28,1808
2011-09-29,1817
2011-09-30,1740
2011-10-01,1740
2011-10-02,1740
2011-10-03,1740
2011-10-04,1602
2011-10-05,1602
2011-10-06,1762
2011-10-07,1783
2011-10-08,1783
2011-10-09,1783
2011-10-10,1683
2011-10-11,1683
2011-10-12,1683
2011-10-13,1795
2011-10-14,1770
2011-10-15,1770
2011-10-16,1770
2011-10-17,1770
2011-10-18,1770
2011-10-19,1770
2011-10-20,1800
2011-10-21,1695
2011-10-22,1695
2011-10-23,1695
2011-10-24,1763
2011-10-25,1763
2011-10-26,1763
2011-10-27,1492
2011-10-28,1435
2011-10-29,1435
2011-10-30,1435
2011-10-31,1417
2011-11-01,1417
2011-11-02,1417
2011-11-03,1598
2011-11-04,1462
2011-11-05,1462
2011-11-06,1462
2011-11-07,1680
2011-11-08,1572
2011-11-09,1610
2011-11-10,1682
2011-11-11,1610
2011-11-12,1610
2011-11-13,1610
2011-11-14,1667
2011-11-15,1690
2011-11-16,1707
2011-11-17,1563
2011-11-18,1608
2011-11-19,1608
2011-11-20,1608
2011-11-21,1648
2011-11-22,1698
2011-11-23,1698
2011-11-24,2003
2011-11-25,2047
2011-11-26,2047
2011-11-27,2047
2011-11-28,2047
2011-11-29,2047
2011-11-30,1932
2011-12-01,1932
2011-12-02,1927
2011-12-03,1927
2011-12-04,1927
2011-12-05,1938
2011-12-06,1872
2011-12-07,1872
2011-12-08,1977
2011-12-09,1977
2011-12-10,1977
2011-12-11,1977
2011-12-12,2098
2011-12-13,1977
2011-12-14,1977
2011-12-15,2182
2011-12-16,2093
2011-12-17,2093
2011-12-18,2093
2011-12-19,2127
2011-12-20,2127
2011-12-21,2127
2011-12-22,1943
2011-12-23,1943
2011-12-24,1943
2011-12-25,1943
2011-12-26,1943
2011-12-27,1943
2011-12-28,1943
2011-12-29,2042
2011-12-30,2042
2011-12-31,2042
2012-01-01,2042
2012-01-02,1992
2012-01-03,2020
2012-01-04,2020
2012-01-05,1975
2012-01-06,1953
2012-01-07,1953
2012-01-08,1953
2012-01-09,1913
2012-01-10,1913
2012-01-11,1835
2012-01-12,1667
2012-01-13,1617
2012-01-14,1617
2012-01-15,1617
2012-01-16,1617
2012-01-17,1617
2012-01-18,1617
2012-01-19,1890
2012-01-20,1777
2012-01-21,1777
2012-01-22,1777
2012-01-23,1777
2012-01-24,1777
2012-01-25,1777
2012-01-26,1777
2012-01-27,1777
2012-01-28,1777
2012-01-29,1777
2012-01-30,1865
2012-01-31,1865
2012-02-01,1710
2012-02-02,1600
2012-02-03,1600
2012-02-04,1600
2012-02-05,1600
2012-02-06,1579
2012-02-07,1604
2012-02-08,1626
2012-02-09,1530
2012-02-10,1516
2012-02-11,1516
2012-02-12,1516
2012-02-13,1516
2012-02-14,1516
2012-02-15,1516
2012-02-16,1523
2012-02-17,1523
2012-02-18,1523
2012-02-19,1523
2012-02-20,1537
2012-02-21,1537
2012-02-22,1551
2012-02-23,1609
2012-02-24,1609
2012-02-25,1609
2012-02-26,1609
2012-02-27,1611
